ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
ENSG00000000003	710.0339896732913	-0.3852374452727823	0.10056605637454566	-3.830690584485224	1.277841126196413e-4	9.425859456719454e-4	TSPAN6
ENSG00000000419	521.213918187076	0.20285502105153774	0.11149403383035994	1.819424897301546	0.06884663114191919	0.18092288822467237	DPM1
ENSG00000000457	237.6016202412324	0.033970774392668365	0.14119114465119328	0.24060131020675354	0.8098641346134133	0.9039734005078343	SCYL3
ENSG00000000460	58.04045056040347	-0.09353363270262179	0.2797441233945362	-0.334354236177133	0.7381122683700572	0.863041103888549	C1orf112
ENSG00000000971	5827.018475952435	0.42240974516490165	0.08913500253689761	4.738988423655951	2.1478777338744927e-6	2.3564375732386847e-5	CFH
ENSG00000001036	1284.7322043064194	-0.24504514634297897	0.08938543990364006	-2.741443646830449	0.006116985260407761	0.02686658899906727	FUCA2
ENSG00000001084	611.0744884239328	-0.05162984302904966	0.16615559046213405	-0.31073190426786046	0.7560044409584259	0.8723876389583057	GCLC
ENSG00000001167	370.0729763768719	-0.5042370267070904	0.1194880945944477	-4.219977131767912	2.443271012086506e-5	2.162148500313632e-4	NFYA
ENSG00000001460	183.59257978791385	-0.1280121888709378	0.1766553977438242	-0.7246435178650693	0.4686707541670556	0.6680593043640112	STPG1
ENSG00000001461	2819.967198045189	-0.04503887789734927	0.10312804869883412	-0.4367277231132023	0.6623088212906569	0.8129259406219037	NIPAL3
ENSG00000001497	540.8241658195197	-0.008006507452056463	0.10623667018526284	-0.07536481930480467	0.9399244497035778	0.9715517049741207	LAS1L
ENSG00000001561	114.30657547313383	0.22115352290335924	0.21156940522672776	1.0453001116411926	0.29588428609035505	0.5037140585955853	ENPP4
ENSG00000001617	599.9151079249698	-0.25422545884202763	0.10751715268240754	-2.364510708286504	0.01805390541909891	0.06447289013961359	SEMA3F
ENSG00000001629	1783.3492435266676	-0.23066067864188464	0.08136493391435677	-2.834890505591436	0.004584139429947412	0.021120806348908287	ANKIB1
ENSG00000001630	54.815184285413494	0.008725345121795082	0.3041341799624648	0.0286891303137054	0.977112525553989	0.9877457714661171	CYP51A1
ENSG00000001631	786.903809550704	-0.04066475616512878	0.10314859393750343	-0.39423471142773986	0.6934077605502036	0.8338631464663029	KRIT1
ENSG00000002016	184.21928031809483	-0.31437146146722283	0.15688182933839726	-2.003874271437244	0.04508353024637033	0.13146255727668102	RAD52
ENSG00000002330	178.36557033369468	0.08505553552856157	0.1519583847661695	0.5597291367596683	0.5756642052433465	0.7532286450691662	BAD
ENSG00000002549	1255.8001843665545	0.18271201373958101	0.1060983449547625	1.7221005079531122	0.08505131311772729	0.21059872632008036	LAP3
ENSG00000002586	8300.528402463919	0.08578225864256157	0.08190454114322979	1.0473443528918704	0.2949407868779411	0.5027377680296122	CD99
